net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,(log(R1/R2)) * (log(M1/M2)),log(R1/R2),log(M1/M2),log(B1/B2),am,ar,interaction,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,11,7,0.1,VI 70,198,0.64516129,804,VI 70,218,1.052631579,1090,0.008885169,-0.041791303,-0.212608093,-0.132170449,,,,,0.045202201,0.008885169,0.001746513,592,,,,
1,11,3,0.1,VI 70,186,0.64516129,686,VI 70,211,1.052631579,1047,0.011644441,-0.054769511,-0.212608093,-0.183622566,,,,,0.045202201,0.011644441,0.002999699,569,,,,
1,12,1,0.1,VI 70,188,0.8,844,VI 70,220,0.8,931,0,-0.068264832,0,-0.042607234,,,,,0,0,0.004660087,576,,,,
1,12,5,0.1,VI 70,211,0.8,926,VI 70,202,0.8,890,0,0.018931086,0,0.01722098,,,,,0,0,0.000358386,602,,,,
1,7,4,0.1,VI 45,279,0.8,1098,VI 95,147,0.8,696,0,0.278286869,0,0.197993101,,,,,0,0,0.077443581,603,,,,
1,8,6,0.1,VI 45,301,1.052631579,1258,VI 95,147,0.64516129,625,0.06617409,0.311249161,0.212608093,0.303800624,,,,,0.045202201,0.06617409,0.09687604,583,,,,
1,7,0,0.1,VI 45,287,0.8,1132,VI 95,128,0.8,647,0,0.350671927,0,0.242942146,,,,,0,0,0.1229708,615,,,,
1,6,6,0.1,VI 45,264,0.64516129,899,VI 95,159,1.052631579,833,-0.046817748,0.220206803,-0.212608093,0.03311469,,,,,0.045202201,-0.046817748,0.048491036,619,,,,
1,8,2,0.1,VI 45,317,1.052631579,1376,VI 95,150,0.64516129,535,0.069090827,0.324968003,0.212608093,0.410264652,,,,,0.045202201,0.069090827,0.105604203,534,,,,
1,9,0,0.1,VI 45,355,1.6,1846,VI 95,131,0.533333333,491,0.206573014,0.432957057,0.477121255,0.575150205,,,,,0.227644692,0.206573014,0.187451814,512,,,,
1,9,4,0.1,VI 45,338,1.6,1746,VI 95,129,0.533333333,564,0.199592698,0.41832699,0.477121255,0.490765135,,,,,0.227644692,0.199592698,0.174997471,523,,,,
1,10,6,0.1,VI 70,150,0.533333333,557,VI 70,260,1.6,1491,0.113975722,-0.238882089,-0.477121255,-0.427622448,,,,,0.227644692,0.113975722,0.057064652,546,,,,
1,10,2,0.1,VI 70,173,0.533333333,647,VI 70,210,1.6,1260,0.040160819,-0.084173192,-0.477121255,-0.289466264,,,,,0.227644692,0.040160819,0.007085126,552,,,,
1,9,8,0.1,VI 45,330,1.6,1681,VI 95,129,0.533333333,502,0.19462932,0.40792423,0.477121255,0.524863996,,,,,0.227644692,0.19462932,0.166402177,485,,,,
1,7,8,0.1,VI 45,304,0.8,1078,VI 95,149,0.8,728,0,0.309687315,0,0.170487382,,,,,0,0,0.095906233,585,,,,
1,11,0,0.1,VI 70,189,0.64516129,736,VI 70,199,1.052631579,1100,0.004760566,-0.022391272,-0.212608093,-0.174514871,,,,,0.045202201,0.004760566,0.000501369,577,,,,
1,11,8,0.1,VI 70,180,0.64516129,725,VI 70,215,1.052631579,1029,0.016406106,-0.077165955,-0.212608093,-0.152077368,,,,,0.045202201,0.016406106,0.005954585,529,,,,
1,11,4,0.1,VI 70,192,0.64516129,805,VI 70,196,1.052631579,870,0.001903872,-0.008954843,-0.212608093,-0.033723372,,,,,0.045202201,0.001903872,8.02E-05,569,,,,
1,12,2,0.1,VI 70,227,0.8,969,VI 70,189,0.8,817,0,0.079564053,0,0.074101721,,,,,0,0,0.006330439,665,,,,
1,12,6,0.1,VI 70,180,0.8,840,VI 70,201,0.8,899,0,-0.047923552,0,-0.029480406,,,,,0,0,0.002296667,614,,,,
1,7,5,0.1,VI 45,251,0.8,976,VI 95,158,0.8,750,0,0.201016635,0,0.114388554,,,,,0,0,0.040407687,586,,,,
1,8,7,0.1,VI 45,317,1.052631579,1364,VI 95,140,0.64516129,611,0.075461251,0.354931227,0.212608093,0.34877316,,,,,0.045202201,0.075461251,0.125976176,535,,,,
1,7,1,0.1,VI 45,289,0.8,1089,VI 95,156,0.8,742,0,0.267773244,0,0.166623974,,,,,0,0,0.07170251,607,,,,
1,6,7,0.1,VI 45,298,0.64516129,925,VI 95,179,1.052631579,872,-0.047063615,0.221363233,-0.212608093,0.025625248,,,,,0.045202201,-0.047063615,0.049001681,589,,,,
1,8,3,0.1,VI 45,305,1.052631579,1328,VI 95,153,0.64516129,602,0.063699172,0.299608409,0.212608093,0.343601584,,,,,0.045202201,0.063699172,0.089765198,579,,,,
1,9,1,0.1,VI 45,317,1.6,1717,VI 95,119,0.533333333,434,0.203020963,0.425512301,0.477121255,0.597280566,,,,,0.227644692,0.203020963,0.181060718,486,,,,
1,9,5,0.1,VI 45,332,1.6,1788,VI 95,139,0.533333333,481,0.180410655,0.378123283,0.477121255,0.570222438,,,,,0.227644692,0.180410655,0.142977217,490,,,,
1,10,3,0.1,VI 70,169,0.533333333,644,VI 70,211,1.6,1270,0.045992462,-0.096395751,-0.477121255,-0.294917854,,,,,0.227644692,0.045992462,0.009292141,567,,,,
1,10,7,0.1,VI 70,179,0.533333333,606,VI 70,227,1.6,1343,0.049225948,-0.103172826,-0.477121255,-0.345603389,,,,,0.227644692,0.049225948,0.010644632,504,,,,
1,9,9,0.1,VI 45,353,1.6,1837,VI 95,135,0.533333333,464,0.199169944,0.417440937,0.477121255,0.597591176,,,,,0.227644692,0.199169944,0.174256936,502,,,,
1,7,9,0.1,VI 45,297,0.8,1072,VI 95,148,0.8,700,0,0.302494734,0,0.185096745,,,,,0,0,0.091503064,556,,,,
1,11,5,0.1,VI 70,182,0.64516129,709,VI 70,209,1.052631579,1027,0.01277241,-0.060074898,-0.212608093,-0.160924208,,,,,0.045202201,0.01277241,0.003608993,567,,,,
1,11,1,0.1,VI 70,181,0.64516129,722,VI 70,217,1.052631579,1085,0.016749512,-0.078781159,-0.212608093,-0.176892541,,,,,0.045202201,0.016749512,0.006206471,592,,,,
1,11,9,0.1,VI 70,195,0.64516129,734,VI 70,205,1.052631579,1081,0.004617688,-0.02171925,-0.212608093,-0.168129634,,,,,0.045202201,0.004617688,0.000471726,582,,,,
