net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,53.2332999,,
0,11,9,0.1,VI 70,215,0.64516129,939,VI 70,196,1.052631579,1028,0.040182389,-0.212608093,-0.039327522,622,,,,
0,12,2,0.1,VI 70,181,0.8,894,VI 70,199,0.8,974,-0.041174502,0,-0.037221438,618,,,,
0,12,3,0.1,VI 70,196,0.8,935,VI 70,195,0.8,930,0.00222146,0,0.002328662,620,,,,
0,12,1,0.1,VI 70,211,0.8,902,VI 70,204,0.8,942,0.014652288,0,-0.018844365,592,,,,
0,12,4,0.1,VI 70,201,0.8,923,VI 70,195,0.8,924,0.013161446,0,-0.00047027,626,,,,
0,12,5,0.1,VI 70,203,0.8,917,VI 70,197,0.8,928,0.013029812,0,-0.005178641,578,,,,
0,12,6,0.1,VI 70,173,0.8,834,VI 70,231,0.8,1004,-0.125565877,0,-0.080567662,638,,,,
0,12,8,0.1,VI 70,195,0.8,923,VI 70,212,0.8,999,-0.03630125,0,-0.034363787,602,,,,
0,13,1,0.1,VI 70,221,1.052631579,1113,VI 70,199,0.64516129,810,0.045539197,0.212608093,0.138010145,575,,,,
0,12,9,0.1,VI 70,198,0.8,896,VI 70,219,0.8,1072,-0.043778925,0,-0.077886776,616,,,,
0,12,7,0.1,VI 70,235,0.8,973,VI 70,204,0.8,891,0.061437695,0,0.038235136,609,,,,
0,13,0,0.1,VI 70,198,1.052631579,1052,VI 70,202,0.64516129,839,-0.008686179,0.212608093,0.098253779,600,,,,
0,13,2,0.1,VI 70,205,1.052631579,1049,VI 70,185,0.64516129,838,0.044582133,0.212608093,0.09753147,630,,,,
0,13,3,0.1,VI 70,208,1.052631579,1086,VI 70,200,0.64516129,831,0.017033339,0.212608093,0.116228801,590,,,,
0,13,4,0.1,VI 70,227,1.052631579,1072,VI 70,200,0.64516129,804,0.054995862,0.212608093,0.124938737,619,,,,
0,13,5,0.1,VI 70,214,1.052631579,1098,VI 70,194,0.64516129,815,0.042612043,0.212608093,0.129444731,612,,,,
0,13,6,0.1,VI 70,212,1.052631579,1074,VI 70,195,0.64516129,828,0.03630125,0.212608093,0.112973945,651,,,,
0,13,7,0.1,VI 70,186,1.052631579,1018,VI 70,199,0.64516129,853,-0.029340132,0.212608093,0.076798747,536,,,,
0,13,8,0.1,VI 70,207,1.052631579,1079,VI 70,191,0.64516129,845,0.034936978,0.212608093,0.106164736,635,,,,
0,14,0,0.1,VI 70,229,1.6,1423,VI 70,179,0.533333333,716,0.106982451,0.477121255,0.298291878,606,,,,
0,13,9,0.1,VI 70,209,1.052631579,1053,VI 70,211,0.64516129,905,-0.004136169,0.212608093,0.065779792,647,,,,
0,14,1,0.1,VI 70,214,1.6,1303,VI 70,180,0.533333333,723,0.075141268,0.477121255,0.255806118,593,,,,
0,14,2,0.1,VI 70,219,1.6,1379,VI 70,210,0.533333333,713,0.01822482,0.477121255,0.286474736,619,,,,
0,14,3,0.1,VI 70,222,1.6,1354,VI 70,215,0.533333333,836,0.013914515,0.477121255,0.209412387,648,,,,
0,14,5,0.1,VI 70,204,1.6,1297,VI 70,202,0.533333333,815,0.004278798,0.477121255,0.201782367,606,,,,
0,14,7,0.1,VI 70,236,1.6,1370,VI 70,200,0.533333333,766,0.071882007,0.477121255,0.252491798,585,,,,
0,14,6,0.1,VI 70,222,1.6,1404,VI 70,194,0.533333333,752,0.058551245,0.477121255,0.271149267,645,,,,
0,14,4,0.1,VI 70,238,1.6,1421,VI 70,176,0.533333333,685,0.131064289,0.477121255,0.316903506,580,,,,
0,14,9,0.1,VI 70,230,1.6,1369,VI 70,190,0.533333333,746,0.082974235,0.477121255,0.263664621,583,,,,
0,14,8,0.1,VI 70,201,1.6,1251,VI 70,192,0.533333333,724,0.019894829,0.477121255,0.237518743,585,,,,
0,15,0,0.1,VI 95,139,0.533333333,603,VI 45,325,1.6,1770,-0.368868561,-0.477121255,-0.467655954,577,,,,
0,15,2,0.1,VI 95,136,0.533333333,574,VI 45,332,1.6,1720,-0.387599175,-0.477121255,-0.476616555,554,,,,
0,15,1,0.1,VI 95,146,0.533333333,576,VI 45,314,1.6,1748,-0.332576792,-0.477121255,-0.482118945,561,,,,
0,15,3,0.1,VI 95,147,0.533333333,598,VI 45,317,1.6,1709,-0.333741927,-0.477121255,-0.456040879,622,,,,
0,15,4,0.1,VI 95,165,0.533333333,664,VI 45,317,1.6,1640,-0.283575318,-0.477121255,-0.392675769,580,,,,
0,15,5,0.1,VI 95,165,0.533333333,685,VI 45,314,1.6,1741,-0.279445704,-0.477121255,-0.4051082,669,,,,
0,15,6,0.1,VI 95,158,0.533333333,580,VI 45,333,1.6,1753,-0.323787147,-0.477121255,-0.480353923,550,,,,
0,15,7,0.1,VI 95,153,0.533333333,630,VI 45,355,1.6,1770,-0.365536922,-0.477121255,-0.448632717,570,,,,
0,15,8,0.1,VI 95,145,0.533333333,599,VI 45,333,1.6,1809,-0.361076231,-0.477121255,-0.480011744,538,,,,
0,15,9,0.1,VI 95,149,0.533333333,637,VI 45,319,1.6,1731,-0.330604415,-0.477121255,-0.434157636,608,,,,
0,16,0,0.1,VI 95,152,0.64516129,681,VI 45,340,1.052631579,1417,-0.349635329,-0.212608093,-0.318222738,614,,,,
0,16,2,0.1,VI 95,151,0.64516129,700,VI 45,305,1.052631579,1416,-0.305322892,-0.212608093,-0.305965213,614,,,,
0,16,3,0.1,VI 95,149,0.64516129,652,VI 45,309,1.052631579,1362,-0.316772211,-0.212608093,-0.319929512,583,,,,
0,16,4,0.1,VI 95,151,0.64516129,685,VI 45,331,1.052631579,1297,-0.340851046,-0.212608093,-0.277249405,512,,,,
0,16,1,0.1,VI 95,148,0.64516129,732,VI 45,316,1.052631579,1427,-0.329425367,-0.212608093,-0.289912892,656,,,,
0,16,5,0.1,VI 95,146,0.64516129,682,VI 45,316,1.052631579,1435,-0.335334227,-0.212608093,-0.323067526,594,,,,
0,16,7,0.1,VI 95,160,0.64516129,695,VI 45,301,1.052631579,1304,-0.274446513,-0.212608093,-0.273292787,595,,,,
0,16,6,0.1,VI 95,138,0.64516129,688,VI 45,308,1.052631579,1435,-0.34867163,-0.212608093,-0.319263463,618,,,,
0,16,8,0.1,VI 95,156,0.64516129,736,VI 45,314,1.052631579,1379,-0.30380505,-0.212608093,-0.272686452,594,,,,
0,16,9,0.1,VI 95,158,0.64516129,667,VI 45,330,1.052631579,1375,-0.319856853,-0.212608093,-0.314176864,637,,,,
0,17,0,0.1,VI 95,147,0.8,723,VI 45,285,0.8,1135,-0.287527525,0,-0.195857564,556,,,,
0,17,1,0.1,VI 95,140,0.8,695,VI 45,322,0.8,1195,-0.361727836,0,-0.235383101,531,,,,
0,17,2,0.1,VI 95,152,0.8,764,VI 45,313,0.8,1183,-0.31370075,0,-0.189891386,632,,,,
0,17,3,0.1,VI 95,165,0.8,781,VI 45,311,0.8,1229,-0.275276445,0,-0.196900849,585,,,,
0,17,4,0.1,VI 95,165,0.8,832,VI 45,284,0.8,1159,-0.235834396,0,-0.14396011,612,,,,
0,17,5,0.1,VI 95,143,0.8,695,VI 45,320,0.8,1189,-0.349813941,0,-0.23319705,590,,,,
0,17,6,0.1,VI 95,160,0.8,783,VI 45,276,0.8,1076,-0.236789099,0,-0.138050509,550,,,,
0,17,7,0.1,VI 95,149,0.8,740,VI 45,305,0.8,1136,-0.311113571,0,-0.186146612,566,,,,
0,17,8,0.1,VI 95,166,0.8,823,VI 45,286,0.8,1130,-0.236257945,0,-0.137678608,631,,,,
0,17,9,0.1,VI 95,139,0.8,719,VI 45,311,0.8,1187,-0.349745589,0,-0.217721829,601,,,,
0,18,0,0.1,VI 95,156,1.052631579,887,VI 45,298,0.64516129,1036,-0.281091666,0.212608093,-0.067436136,610,,,,
0,18,1,0.1,VI 95,133,1.052631579,789,VI 45,310,0.64516129,1107,-0.367510053,0.212608093,-0.147070618,633,,,,
0,18,2,0.1,VI 95,167,1.052631579,933,VI 45,265,0.64516129,1008,-0.200529403,0.212608093,-0.033578888,657,,,,
0,18,3,0.1,VI 95,161,1.052631579,901,VI 45,280,0.64516129,1036,-0.240332155,0.212608093,-0.060634964,620,,,,
0,18,4,0.1,VI 95,159,1.052631579,861,VI 45,291,0.64516129,1018,-0.262495865,0.212608093,-0.072744627,602,,,,
0,18,5,0.1,VI 95,162,1.052631579,887,VI 45,293,0.64516129,1009,-0.257352606,0.212608093,-0.055967546,619,,,,
0,18,6,0.1,VI 95,164,1.052631579,925,VI 45,264,0.64516129,1006,-0.206760079,0.212608093,-0.036456248,613,,,,
0,18,7,0.1,VI 95,146,1.052631579,823,VI 45,269,0.64516129,989,-0.265399424,0.212608093,-0.079796456,647,,,,
0,18,8,0.1,VI 95,136,1.052631579,805,VI 45,300,0.64516129,1056,-0.343582346,0.212608093,-0.117868038,615,,,,
0,18,9,0.1,VI 95,163,1.052631579,832,VI 45,257,0.64516129,996,-0.197745519,0.212608093,-0.078136012,618,,,,
0,19,0,0.1,VI 95,150,1.6,989,VI 45,274,0.533333333,951,-0.261659304,0.477121255,0.017015775,595,,,,
0,19,1,0.1,VI 95,167,1.6,1142,VI 45,269,0.533333333,837,-0.207035809,0.477121255,0.134940646,594,,,,
0,19,2,0.1,VI 95,167,1.6,1090,VI 45,271,0.533333333,889,-0.21025282,0.477121255,0.088524737,579,,,,
0,19,3,0.1,VI 95,173,1.6,1024,VI 45,290,0.533333333,927,-0.224351895,0.477121255,0.043220222,630,,,,
0,19,4,0.1,VI 95,165,1.6,1090,VI 45,285,0.533333333,920,-0.237360916,0.477121255,0.073638671,647,,,,
