run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
19,4,VI 95,104,163,1.6,VI 45,339,4986,0.533,-0.5131663589043018,-1.4855646697637968,0.4773927736293525,314
19,5,VI 95,112,154,1.6,VI 45,313,4432,0.533,-0.4463263148762669,-1.4590790308839103,0.4773927736293525,288
19,6,VI 95,109,174,1.6,VI 45,304,4468,0.533,-0.4454470856681301,-1.4095639161609717,0.4773927736293525,323
19,7,VI 95,102,159,1.6,VI 45,320,4787,0.533,-0.49654980655798847,-1.478666303161497,0.4773927736293525,305
19,8,VI 95,98,193,1.6,VI 45,307,4795,0.533,-0.49591229978469165,-1.3952313024989087,0.4773927736293525,348
19,9,VI 95,100,171,1.6,VI 45,324,4938,0.533,-0.5105450102066121,-1.4605549752037597,0.4773927736293525,322
20,0,VI 120,159,3936,0.533,VI 20,130,130,1.6,0.08745377201361475,1.4811117374524672,-0.4773927736293525,260
20,1,VI 120,151,3657,0.533,VI 20,123,124,1.6,0.08907183585377147,1.4697032751758092,-0.4773927736293525,248
20,2,VI 120,155,3655,0.533,VI 20,135,136,1.6,0.05999792967528537,1.4293484729236619,-0.4773927736293525,272
20,3,VI 120,164,3737,0.533,VI 20,130,131,1.6,0.1009004957408611,1.4552518021938734,-0.4773927736293525,262
20,4,VI 120,134,3432,0.533,VI 20,134,136,1.6,0.0,1.4020083708064504,-0.4773927736293525,270
20,5,VI 120,165,3834,0.533,VI 20,132,132,1.6,0.09691001300805642,1.463078177336194,-0.4773927736293525,261
20,6,VI 120,145,3667,0.533,VI 20,132,134,1.6,0.04079407102912499,1.437206111595795,-0.4773927736293525,267
20,7,VI 120,167,3947,0.533,VI 20,132,134,1.6,0.1021425399417334,1.4691623280307078,-0.4773927736293525,267
20,8,VI 120,153,3574,0.533,VI 20,126,126,1.6,0.08432088570003587,1.4527840030520625,-0.4773927736293525,252
20,9,VI 120,151,3633,0.533,VI 20,127,128,1.6,0.07517322633721261,1.4530554282148462,-0.4773927736293525,254
21,0,VI 120,115,1834,0.645,VI 20,602,1900,1.05,-0.7188986509042129,-0.015354269618826683,-0.21162958443467028,781
21,1,VI 120,123,1987,0.645,VI 20,599,1832,1.05,-0.6875217109499134,0.03527239777798359,-0.21162958443467028,879
21,2,VI 120,134,2217,0.645,VI 20,598,1829,1.05,-0.6495963856236032,0.08355198763807128,-0.21162958443467028,943
21,3,VI 120,133,2145,0.645,VI 20,597,1895,1.05,-0.6521226901622833,0.053818082216651936,-0.21162958443467028,876
21,4,VI 120,132,2061,0.645,VI 20,627,1908,1.05,-0.6766936096248666,0.033499621411136576,-0.21162958443467028,937
21,5,VI 120,160,2450,0.645,VI 20,590,1775,1.05,-0.5667320289862194,0.13996772697341955,-0.21162958443467028,917
21,6,VI 120,132,2160,0.645,VI 20,594,1839,1.05,-0.6532125137753437,0.06987202191285341,-0.21162958443467028,845
21,7,VI 120,148,2295,0.645,VI 20,574,1747,1.05,-0.5886501770030161,0.11848978489034914,-0.21162958443467028,848
21,8,VI 120,158,2332,0.645,VI 20,595,1754,1.05,-0.5758598787741269,0.12369895705695479,-0.21162958443467028,833
21,9,VI 120,142,2259,0.645,VI 20,573,1837,1.05,-0.6058662775843335,0.08980707461455469,-0.21162958443467028,908
22,0,VI 120,123,1080,0.8,VI 20,852,7185,0.8,-0.8405344833273022,-0.8230030169832948,0.0,994
22,1,VI 120,125,1164,0.8,VI 20,871,7140,0.8,-0.8431081419996068,-0.7877452314623047,0.0,940
22,2,VI 120,128,1190,0.8,VI 20,858,7075,0.8,-0.826277318200837,-0.7741794828037971,0.0,1030
22,3,VI 120,117,1121,0.8,VI 20,811,7046,0.8,-0.8408349924649944,-0.7983370262502506,0.0,985
22,4,VI 120,115,1091,0.8,VI 20,904,7321,0.8,-0.8954705901217516,-0.8267456562650884,0.0,946
