net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,16,1,0.1,VI 95,842,0.64516129,4603,VI 45,1722,1.052631579,8243,-0.310721056,-0.212608093,-0.253044325,5678,,,
-1,15,7,0.1,VI 95,856,0.533333333,4094,VI 45,1744,1.6,8591,-0.309072716,-0.477121255,-0.321895881,5408,,,
-1,17,3,0.1,VI 95,908,0.8,5100,VI 45,1765,0.8,7775,-0.288658861,0,-0.183130222,5676,,,
-1,17,7,0.1,VI 95,869,0.8,5135,VI 45,1704,0.8,7707,-0.292449814,0,-0.176344911,5705,,,
-1,18,1,0.1,VI 95,886,1.052631579,6038,VI 45,1707,0.64516129,6798,-0.284799799,0.212608093,-0.051488052,5799,,,
-1,18,5,0.1,VI 95,920,1.052631579,6136,VI 45,1662,0.64516129,6719,-0.256843192,0.212608093,-0.03941929,5822,,,
-1,18,9,0.1,VI 95,929,1.052631579,6302,VI 45,1636,0.64516129,6784,-0.245767585,0.212608093,-0.03200744,5827,,,
-1,13,0,0.1,VI 70,1206,1.052631579,7325,VI 70,1171,0.64516129,5459,0.012790413,0.212608093,0.127694535,5724,,,
-1,13,8,0.1,VI 70,1177,1.052631579,7282,VI 70,1127,0.64516129,5272,0.018852547,0.212608093,0.140275273,5618,,,
-1,14,2,0.1,VI 70,1237,1.6,8071,VI 70,1105,0.533333333,4489,0.049007422,0.477121255,0.254777742,5415,,,
-1,15,4,0.1,VI 95,839,0.533333333,4262,VI 45,1796,1.6,8536,-0.330544372,-0.477121255,-0.301640961,5576,,,
-1,15,0,0.1,VI 95,826,0.533333333,4093,VI 45,1808,1.6,8574,-0.340218379,-0.477121255,-0.321141735,5452,,,
-1,14,6,0.1,VI 70,1219,1.6,8077,VI 70,1040,0.533333333,4516,0.068970366,0.477121255,0.25249615,5571,,,
-1,16,6,0.1,VI 95,853,0.64516129,4501,VI 45,1741,1.052631579,8336,-0.30984974,-0.212608093,-0.267648693,5695,,,
-1,17,0,0.1,VI 95,841,0.8,5160,VI 45,1742,0.8,7789,-0.316252155,0,-0.178832002,5879,,,
-1,13,4,0.1,VI 70,1191,1.052631579,7316,VI 70,1138,0.64516129,5407,0.019769499,0.212608093,0.131317327,5749,,,
-1,16,2,0.1,VI 95,871,0.64516129,4537,VI 45,1700,1.052631579,8363,-0.290430766,-0.212608093,-0.265593318,5635,,,
-1,15,8,0.1,VI 95,837,0.533333333,4243,VI 45,1785,1.6,8567,-0.328912762,-0.477121255,-0.305155735,5530,,,
-1,17,4,0.1,VI 95,865,0.8,5288,VI 45,1710,0.8,7826,-0.295980003,0,-0.170248397,5910,,,
-1,17,8,0.1,VI 95,867,0.8,5021,VI 45,1778,0.8,7783,-0.311912659,0,-0.190356809,5732,,,
-1,18,2,0.1,VI 95,849,1.052631579,5925,VI 45,1674,0.64516129,6809,-0.294847763,0.212608093,-0.060394979,5753,,,
-1,18,6,0.1,VI 95,876,1.052631579,6169,VI 45,1631,0.64516129,6774,-0.269949855,0.212608093,-0.040630422,5753,,,
-1,19,0,0.1,VI 95,900,1.6,7160,VI 45,1569,0.533333333,5480,-0.241380434,0.477121255,0.116132464,5661,,,
-1,13,1,0.1,VI 70,1172,1.052631579,7399,VI 70,1107,0.64516129,5330,0.024779991,0.212608093,0.142445818,5707,,,
-1,13,9,0.1,VI 70,1234,1.052631579,7519,VI 70,1105,0.64516129,5306,0.047952882,0.212608093,0.151392839,5786,,,
-1,14,3,0.1,VI 70,1193,1.6,8120,VI 70,1081,0.533333333,4684,0.04281475,0.477121255,0.238939143,5703,,,
