net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,7,0,0.1,VI 45,284,0.8,1101,VI 95,146,0.8,760,0,0.288965484,0,0.160973727,,,,,0,0,0.083501051,609,,,,
1,7,8,0.1,VI 45,306,0.8,1123,VI 95,148,0.8,744,0,0.315459711,0,0.178806821,,,,,0,0,0.099514829,615,,,,
1,7,4,0.1,VI 45,268,0.8,996,VI 95,168,0.8,754,0,0.202825512,0,0.120887993,,,,,0,0,0.041138188,570,,,,
1,9,0,0.1,VI 45,323,1.6,1573,VI 95,119,0.533333333,471,0.206906285,0.433655561,0.477121255,0.523707815,,,,,0.227644692,0.206906285,0.188057146,466,,,,
1,9,8,0.1,VI 45,305,1.6,1620,VI 95,146,0.533333333,508,0.152653506,0.319946984,0.477121255,0.503651302,,,,,0.227644692,0.152653506,0.102366072,478,,,,
1,9,4,0.1,VI 45,305,1.6,1643,VI 95,132,0.533333333,520,0.173541362,0.363725908,0.477121255,0.49963422,,,,,0.227644692,0.173541362,0.132296536,530,,,,
1,10,2,0.1,VI 70,168,0.533333333,668,VI 70,222,1.6,1306,0.057752519,-0.121043693,-0.477121255,-0.291166714,,,,,0.227644692,0.057752519,0.014651576,543,,,,
1,8,6,0.1,VI 45,325,1.052631579,1310,VI 95,131,0.64516129,562,0.083897719,0.394612065,0.212608093,0.36753498,,,,,0.045202201,0.083897719,0.155718682,587,,,,
1,10,6,0.1,VI 70,196,0.533333333,636,VI 70,210,1.6,1318,0.014296091,-0.029963223,-0.477121255,-0.316458295,,,,,0.227644692,0.014296091,0.000897795,546,,,,
1,8,2,0.1,VI 45,303,1.052631579,1268,VI 95,152,0.64516129,630,0.063697181,0.299599041,0.212608093,0.303778704,,,,,0.045202201,0.063697181,0.089759585,566,,,,
1,11,0,0.1,VI 70,170,0.64516129,708,VI 70,213,1.052631579,1038,0.020820856,-0.097930682,-0.212608093,-0.166164096,,,,,0.045202201,0.020820856,0.009590418,580,,,,
1,11,4,0.1,VI 70,194,0.64516129,781,VI 70,202,1.052631579,1038,0.003731195,-0.01754964,-0.212608093,-0.12354632,,,,,0.045202201,0.003731195,0.00030799,605,,,,
1,12,2,0.1,VI 70,198,0.8,868,VI 70,198,0.8,919,0,0,0,-0.024795786,,,,,0,0,0,577,,,,
1,12,6,0.1,VI 70,221,0.8,855,VI 70,205,0.8,872,0,0.032638413,0,-0.00855037,,,,,0,0,0.001065266,607,,,,
1,11,8,0.1,VI 70,194,0.64516129,742,VI 70,215,1.052631579,933,0.00949013,-0.04463673,-0.212608093,-0.099477738,,,,,0.045202201,0.00949013,0.001992438,572,,,,
1,6,7,0.1,VI 45,254,0.64516129,909,VI 95,160,1.052631579,878,-0.042673364,0.200713734,-0.212608093,0.015069367,,,,,0.045202201,-0.042673364,0.040286003,590,,,,
1,7,1,0.1,VI 45,281,0.8,1092,VI 95,136,0.8,724,0,0.315167412,0,0.178484072,,,,,0,0,0.099330497,574,,,,
1,7,9,0.1,VI 45,309,0.8,1090,VI 95,164,0.8,710,0,0.275114631,0,0.186168149,,,,,0,0,0.07568806,609,,,,
1,7,5,0.1,VI 45,266,0.8,985,VI 95,168,0.8,779,0,0.199572355,0,0.101898773,,,,,0,0,0.039829125,588,,,,
1,9,1,0.1,VI 45,342,1.6,1771,VI 95,134,0.533333333,459,0.194150805,0.406921308,0.477121255,0.586405876,,,,,0.227644692,0.194150805,0.165584951,486,,,,
1,9,5,0.1,VI 45,319,1.6,1651,VI 95,119,0.533333333,426,0.204324182,0.428243722,0.477121255,0.588337474,,,,,0.227644692,0.204324182,0.183392685,479,,,,
1,9,9,0.1,VI 45,346,1.6,1779,VI 95,134,0.533333333,414,0.196560264,0.4119713,0.477121255,0.633175607,,,,,0.227644692,0.196560264,0.169720352,401,,,,
1,8,7,0.1,VI 45,298,1.052631579,1308,VI 95,149,0.64516129,623,0.064001413,0.301029996,0.212608093,0.322119697,,,,,0.045202201,0.064001413,0.090619058,604,,,,
1,10,3,0.1,VI 70,198,0.533333333,603,VI 70,230,1.6,1380,0.031042771,-0.065062646,-0.477121255,-0.359561774,,,,,0.227644692,0.031042771,0.004233148,552,,,,
1,10,7,0.1,VI 70,190,0.533333333,621,VI 70,242,1.6,1394,0.050127201,-0.105061765,-0.477121255,-0.351171174,,,,,0.227644692,0.050127201,0.011037974,550,,,,
1,11,1,0.1,VI 70,207,0.64516129,760,VI 70,212,1.052631579,1022,0.002203792,-0.010365515,-0.212608093,-0.128637304,,,,,0.045202201,0.002203792,0.000107444,611,,,,
1,8,3,0.1,VI 45,299,1.052631579,1174,VI 95,146,0.64516129,597,0.066188797,0.311318333,0.212608093,0.293693766,,,,,0.045202201,0.066188797,0.096919104,525,,,,
1,11,5,0.1,VI 70,186,0.64516129,792,VI 70,215,1.052631579,1066,0.013378474,-0.062925516,-0.212608093,-0.129032023,,,,,0.045202201,0.013378474,0.003959621,641,,,,
1,12,3,0.1,VI 70,217,0.8,847,VI 70,215,0.8,872,0,0.004021274,0,-0.012633075,,,,,0,0,1.62E-05,593,,,,
1,11,9,0.1,VI 70,196,0.64516129,784,VI 70,207,1.052631579,1026,0.005041847,-0.023714274,-0.212608093,-0.116831298,,,,,0.045202201,0.005041847,0.000562367,592,,,,
1,12,7,0.1,VI 70,201,0.8,869,VI 70,204,0.8,876,0,-0.00643411,0,-0.00348433,,,,,0,0,4.14E-05,580,,,,
1,12,8,0.1,VI 70,188,0.8,807,VI 70,203,0.8,895,0,-0.033338189,0,-0.044949501,,,,,0,0,0.001111435,627,,,,
1,13,2,0.1,VI 70,197,1.052631579,961,VI 70,198,0.64516129,772,-0.000467518,-0.002198964,0.212608093,0.095106087,,,,,0.045202201,-0.000467518,4.84E-06,591,,,,
1,13,6,0.1,VI 70,200,1.052631579,1029,VI 70,204,0.64516129,779,-0.001828466,-0.008600172,0.212608093,0.120877917,,,,,0.045202201,-0.001828466,7.40E-05,595,,,,
1,14,0,0.1,VI 70,225,1.6,1382,VI 70,180,0.533333333,592,0.046237827,0.096910013,0.477121255,0.368186336,,,,,0.227644692,0.046237827,0.009391551,534,,,,
1,14,4,0.1,VI 70,202,1.6,1311,VI 70,189,0.533333333,651,0.013783826,0.028889565,0.477121255,0.304021703,,,,,0.227644692,0.013783826,0.000834607,573,,,,
1,16,0,0.1,VI 95,152,0.64516129,631,VI 45,303,1.052631579,1278,0.063697181,-0.299599041,-0.212608093,-0.306501495,,,,,0.045202201,0.063697181,0.089759585,575,,,,
1,16,4,0.1,VI 95,132,0.64516129,569,VI 45,320,1.052631579,1279,0.08176398,-0.384576047,-0.212608093,-0.351758278,,,,,0.045202201,0.08176398,0.147898736,582,,,,
1,15,2,0.1,VI 95,144,0.533333333,474,VI 45,339,1.6,1767,0.177411434,-0.371837206,-0.477121255,-0.571458208,,,,,0.227644692,0.177411434,0.138262908,491,,,,
1,14,8,0.1,VI 70,220,1.6,1221,VI 70,190,0.533333333,678,0.030377871,0.06366908,0.477121255,0.25548597,,,,,0.227644692,0.030377871,0.004053752,592,,,,
1,15,6,0.1,VI 95,137,0.533333333,494,VI 45,289,1.6,1572,0.154671868,-0.324177276,-0.477121255,-0.502725593,,,,,0.227644692,0.154671868,0.105090906,448,,,,
1,16,8,0.1,VI 95,153,0.64516129,656,VI 45,284,1.052631579,1192,0.057112255,-0.268626909,-0.212608093,-0.259372416,,,,,0.045202201,0.057112255,0.072160416,584,,,,
1,17,2,0.1,VI 95,166,0.8,771,VI 45,268,0.8,1011,0,-0.208026706,0,-0.117696778,,,,,0,0,0.04327511,591,,,,
1,17,6,0.1,VI 95,137,0.8,745,VI 45,275,0.8,1019,0,-0.302612127,0,-0.136017911,,,,,0,0,0.091574099,608,,,,
1,18,4,0.1,VI 95,171,1.052631579,878,VI 45,255,0.64516129,930,-0.036896874,-0.17354407,0.212608093,-0.024988433,,,,,0.045202201,-0.036896874,0.030117544,630,,,,
1,18,0,0.1,VI 95,167,1.052631579,847,VI 45,279,0.64516129,960,-0.047387736,-0.222887732,0.212608093,-0.054387823,,,,,0.045202201,-0.047387736,0.049678941,604,,,,
1,18,8,0.1,VI 95,151,1.052631579,870,VI 45,247,0.64516129,867,-0.045438603,-0.213720006,0.212608093,0.001500155,,,,,0.045202201,-0.045438603,0.045676241,577,,,,
1,12,9,0.1,VI 70,178,0.8,844,VI 70,193,0.8,886,0,-0.035137307,0,-0.021091275,,,,,0,0,0.00123463,649,,,,
1,13,3,0.1,VI 70,196,1.052631579,994,VI 70,213,0.64516129,813,-0.007680155,-0.036123532,0.212608093,0.087295839,,,,,0.045202201,-0.007680155,0.00130491,570,,,,
1,13,7,0.1,VI 70,228,1.052631579,1067,VI 70,199,0.64516129,741,0.012561263,0.059081771,0.212608093,0.158346211,,,,,0.045202201,0.012561263,0.003490656,545,,,,
