net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,8,8,0.15,VI 45,320,1.052631579,1612,VI 95,164,0.64516129,879,0.29030613,0.212608093,0.263376162,841,,,,
0,8,9,0.15,VI 45,339,1.052631579,1738,VI 95,158,0.64516129,859,0.331542611,0.212608093,0.306056608,848,,,,
0,9,0,0.15,VI 45,329,1.6,2079,VI 95,159,0.533333333,817,0.315798774,0.477121255,0.405632433,827,,,,
0,9,1,0.15,VI 45,326,1.6,2068,VI 95,160,0.533333333,801,0.309097617,0.477121255,0.411918018,788,,,,
0,9,2,0.15,VI 45,323,1.6,2130,VI 95,148,0.533333333,788,0.338940807,0.477121255,0.431853386,851,,,,
0,9,4,0.15,VI 45,328,1.6,2045,VI 95,169,0.533333333,758,0.287987139,0.477121255,0.431024107,803,,,,
0,9,3,0.15,VI 45,308,1.6,2051,VI 95,152,0.533333333,776,0.306707129,0.477121255,0.422103939,841,,,,
0,9,5,0.15,VI 45,302,1.6,1919,VI 95,149,0.533333333,860,0.306820675,0.477121255,0.348576523,836,,,,
0,9,6,0.15,VI 45,342,1.6,2176,VI 95,157,0.533333333,819,0.338126454,0.477121255,0.424374989,862,,,,
0,9,8,0.15,VI 45,320,1.6,1970,VI 95,155,0.533333333,819,0.31481828,0.477121255,0.381182324,830,,,,
0,9,7,0.15,VI 45,339,1.6,2068,VI 95,165,0.533333333,784,0.312715754,0.477121255,0.421234472,817,,,,
0,9,9,0.15,VI 45,348,1.6,2116,VI 95,162,0.533333333,774,0.332064229,0.477121255,0.436774703,812,,,,
0,10,0,0.15,VI 70,218,0.533333333,980,VI 70,223,1.6,1585,-0.009848369,-0.477121255,-0.208803191,914,,,,
0,10,3,0.15,VI 70,230,0.533333333,983,VI 70,222,1.6,1580,0.015374862,-0.477121255,-0.206103569,889,,,,
0,10,4,0.15,VI 70,213,0.533333333,895,VI 70,247,1.6,1705,-0.06431735,-0.477121255,-0.279901348,815,,,,
0,10,2,0.15,VI 70,214,0.533333333,951,VI 70,226,1.6,1661,-0.023694666,-0.477121255,-0.242189116,807,,,,
0,10,5,0.15,VI 70,218,0.533333333,971,VI 70,211,1.6,1587,0.014174038,-0.477121255,-0.213357697,807,,,,
0,10,1,0.15,VI 70,213,0.533333333,953,VI 70,230,1.6,1698,-0.033348233,-0.477121255,-0.250844785,855,,,,
0,10,6,0.15,VI 70,204,0.533333333,925,VI 70,237,1.6,1723,-0.065118179,-0.477121255,-0.270143545,837,,,,
0,10,7,0.15,VI 70,219,0.533333333,897,VI 70,253,1.6,1779,-0.062676406,-0.477121255,-0.297383505,868,,,,
0,10,8,0.15,VI 70,212,0.533333333,944,VI 70,234,1.6,1688,-0.042879996,-0.477121255,-0.252400448,858,,,,
0,10,9,0.15,VI 70,214,0.533333333,939,VI 70,229,1.6,1670,-0.029421709,-0.477121255,-0.250050879,860,,,,
0,11,0,0.15,VI 70,205,0.64516129,998,VI 70,225,1.052631579,1325,-0.040428657,-0.212608093,-0.123085337,792,,,,
0,11,1,0.15,VI 70,222,0.64516129,1121,VI 70,192,1.052631579,1221,0.063051746,-0.212608093,-0.037110051,838,,,,
0,11,2,0.15,VI 70,219,0.64516129,1073,VI 70,221,1.052631579,1289,-0.003948159,-0.212608093,-0.079653195,873,,,,
0,11,3,0.15,VI 70,219,0.64516129,1066,VI 70,228,1.052631579,1339,-0.017490732,-0.212608093,-0.099023372,864,,,,
0,11,4,0.15,VI 70,210,0.64516129,1052,VI 70,216,1.052631579,1305,-0.012234456,-0.212608093,-0.093594772,840,,,,
0,11,5,0.15,VI 70,225,0.64516129,1044,VI 70,245,1.052631579,1383,-0.036983566,-0.212608093,-0.122121681,854,,,,
0,11,8,0.15,VI 70,228,0.64516129,1136,VI 70,218,1.052631579,1281,0.019478353,-0.212608093,-0.052170798,823,,,,
0,11,6,0.15,VI 70,228,0.64516129,1114,VI 70,203,1.052631579,1260,0.050438809,-0.212608093,-0.053485354,885,,,,
0,12,0,0.15,VI 70,216,0.8,1223,VI 70,207,0.8,1146,0.018483406,0,0.028241839,861,,,,
0,11,7,0.15,VI 70,198,0.64516129,972,VI 70,221,1.052631579,1365,-0.047727083,-0.212608093,-0.147466386,844,,,,
0,11,9,0.15,VI 70,205,0.64516129,1022,VI 70,220,1.052631579,1301,-0.03066882,-0.212608093,-0.104826401,884,,,,
0,12,1,0.15,VI 70,218,0.8,1140,VI 70,207,0.8,1200,0.022486148,0,-0.022276395,842,,,,
0,12,2,0.15,VI 70,196,0.8,1121,VI 70,218,0.8,1216,-0.046200422,0,-0.035327962,888,,,,
0,12,3,0.15,VI 70,226,0.8,1188,VI 70,217,0.8,1179,0.017648705,0,0.003302636,819,,,,
0,12,4,0.15,VI 70,209,0.8,1127,VI 70,214,0.8,1131,-0.010267487,0,-0.001538689,839,,,,
0,12,5,0.15,VI 70,217,0.8,1185,VI 70,213,0.8,1130,0.00808013,0,0.020639907,884,,,,
0,12,6,0.15,VI 70,231,0.8,1176,VI 70,239,0.8,1149,-0.014785921,0,0.010087293,810,,,,
0,12,7,0.15,VI 70,245,0.8,1201,VI 70,212,0.8,1077,0.062830223,0,0.047327304,856,,,,
0,12,8,0.15,VI 70,237,0.8,1233,VI 70,219,0.8,1112,0.034304231,0,0.044858289,863,,,,
0,12,9,0.15,VI 70,218,0.8,1162,VI 70,223,0.8,1160,-0.009848369,0,0.000748139,877,,,,
0,13,0,0.15,VI 70,222,1.052631579,1300,VI 70,207,0.64516129,1077,0.030382629,0.212608093,0.081727649,840,,,,
0,13,1,0.15,VI 70,227,1.052631579,1379,VI 70,191,0.64516129,1007,0.07499249,0.212608093,0.136534796,852,,,,
0,13,4,0.15,VI 70,200,1.052631579,1266,VI 70,199,0.64516129,1059,0.002176919,0.212608093,0.077537746,862,,,,
0,13,3,0.15,VI 70,238,1.052631579,1344,VI 70,194,0.64516129,1071,0.088775227,0.212608093,0.098609798,862,,,,
0,13,2,0.15,VI 70,223,1.052631579,1370,VI 70,215,0.64516129,1043,0.015866403,0.212608093,0.118436259,870,,,,
0,13,5,0.15,VI 70,221,1.052631579,1355,VI 70,230,0.64516129,1035,-0.017335562,0.212608093,0.116998945,875,,,,
0,13,6,0.15,VI 70,254,1.052631579,1428,VI 70,217,0.64516129,1016,0.068373983,0.212608093,0.147834499,889,,,,
0,13,8,0.15,VI 70,229,1.052631579,1394,VI 70,219,0.64516129,1099,0.019391367,0.212608093,0.103265081,900,,,,
0,13,7,0.15,VI 70,224,1.052631579,1355,VI 70,210,0.64516129,999,0.028028724,0.212608093,0.132373807,812,,,,
0,13,9,0.15,VI 70,226,1.052631579,1290,VI 70,214,0.64516129,1106,0.023694666,0.212608093,0.066834583,873,,,,
0,14,0,0.15,VI 70,210,1.6,1564,VI 70,209,0.533333333,982,0.002073009,0.477121255,0.202125261,810,,,,
0,14,1,0.15,VI 70,208,1.6,1534,VI 70,198,0.533333333,948,0.021398145,0.477121255,0.209017022,815,,,,
0,14,2,0.15,VI 70,213,1.6,1580,VI 70,208,0.533333333,960,0.010316268,0.477121255,0.216385854,822,,,,
0,14,3,0.15,VI 70,248,1.6,1730,VI 70,215,0.533333333,918,0.062013221,0.477121255,0.275203422,830,,,,
0,14,4,0.15,VI 70,229,1.6,1634,VI 70,220,0.533333333,1008,0.017412802,0.477121255,0.20979152,919,,,,
0,14,5,0.15,VI 70,239,1.6,1695,VI 70,226,0.533333333,954,0.024289462,0.477121255,0.249621328,871,,,,
0,14,6,0.15,VI 70,213,1.6,1564,VI 70,208,0.533333333,949,0.010316268,0.477121255,0.216970536,802,,,,
0,14,7,0.15,VI 70,239,1.6,1722,VI 70,211,0.533333333,933,0.054115446,0.477121255,0.266151503,847,,,,
0,14,8,0.15,VI 70,242,1.6,1693,VI 70,215,0.533333333,944,0.051376906,0.477121255,0.253684964,827,,,,
0,14,9,0.15,VI 70,229,1.6,1691,VI 70,234,0.533333333,967,-0.009380375,0.477121255,0.242717134,899,,,,
0,15,0,0.15,VI 95,175,0.533333333,819,VI 45,364,1.6,2187,-0.318063335,-0.477121255,-0.426564881,834,,,,
0,15,1,0.15,VI 95,157,0.533333333,794,VI 45,337,1.6,2091,-0.331730248,-0.477121255,-0.42053353,844,,,,
0,15,3,0.15,VI 95,165,0.533333333,820,VI 45,324,1.6,2049,-0.293061066,-0.477121255,-0.397728106,831,,,,
0,15,2,0.15,VI 95,156,0.533333333,774,VI 45,346,1.6,2186,-0.3459515,-0.477121255,-0.450909197,837,,,,
0,15,4,0.15,VI 95,151,0.533333333,769,VI 45,334,1.6,2156,-0.34476952,-0.477121255,-0.447722417,813,,,,
0,15,5,0.15,VI 95,169,0.533333333,822,VI 45,358,1.6,2211,-0.325996322,-0.477121255,-0.429716925,867,,,,
0,15,6,0.15,VI 95,152,0.533333333,825,VI 45,301,1.6,2067,-0.296722908,-0.477121255,-0.398886528,859,,,,
0,15,8,0.15,VI 95,177,0.533333333,878,VI 45,314,1.6,2019,-0.248956382,-0.477121255,-0.361641803,873,,,,
0,15,9,0.15,VI 95,155,0.533333333,767,VI 45,361,1.6,2254,-0.367175504,-0.477121255,-0.468158548,822,,,,
0,16,0,0.15,VI 95,186,0.64516129,946,VI 45,317,1.052631579,1554,-0.231546318,-0.212608093,-0.215559878,848,,,,
0,15,7,0.15,VI 95,161,0.533333333,815,VI 45,358,1.6,2112,-0.347057151,-0.477121255,-0.413536305,868,,,,
0,16,1,0.15,VI 95,168,0.64516129,902,VI 45,328,1.052631579,1609,-0.290564562,-0.212608093,-0.251349507,843,,,,
0,16,2,0.15,VI 95,164,0.64516129,884,VI 45,342,1.052631579,1709,-0.319182258,-0.212608093,-0.286289798,859,,,,
0,16,3,0.15,VI 95,168,0.64516129,902,VI 45,315,1.052631579,1656,-0.273001272,-0.212608093,-0.263853795,790,,,,
0,16,4,0.15,VI 95,161,0.64516129,922,VI 45,312,1.052631579,1630,-0.287328718,-0.212608093,-0.247456683,857,,,,
0,16,5,0.15,VI 95,174,0.64516129,903,VI 45,358,1.052631579,1749,-0.313333778,-0.212608093,-0.287102059,850,,,,
0,16,6,0.15,VI 95,185,0.64516129,905,VI 45,330,1.052631579,1678,-0.251342211,-0.212608093,-0.268143377,818,,,,
0,16,7,0.15,VI 95,171,0.64516129,899,VI 45,339,1.052631579,1670,-0.297203588,-0.212608093,-0.268956779,838,,,,
0,16,8,0.15,VI 95,168,0.64516129,913,VI 45,317,1.052631579,1667,-0.27574998,-0.212608093,-0.261464822,879,,,,
0,16,9,0.15,VI 95,159,0.64516129,892,VI 45,336,1.052631579,1680,-0.324942153,-0.212608093,-0.274944427,858,,,,
0,17,0,0.15,VI 95,160,0.8,990,VI 45,345,0.8,1458,-0.333699112,0,-0.168122329,850,,,,
0,17,1,0.15,VI 95,158,0.8,989,VI 45,335,0.8,1467,-0.32638772,0,-0.171233822,815,,,,
0,17,2,0.15,VI 95,168,0.8,1041,VI 45,294,0.8,1349,-0.243038049,0,-0.11256122,879,,,,
0,17,3,0.15,VI 95,156,0.8,921,VI 45,347,0.8,1558,-0.347204876,0,-0.228307823,842,,,,
0,17,4,0.15,VI 95,188,0.8,1061,VI 45,300,0.8,1391,-0.202963405,0,-0.117611746,852,,,,
0,17,5,0.15,VI 95,158,0.8,996,VI 45,329,0.8,1459,-0.318538811,0,-0.165795953,868,,,,
0,17,6,0.15,VI 95,163,0.8,972,VI 45,315,0.8,1405,-0.286122949,0,-0.160010059,841,,,,
0,17,7,0.15,VI 95,176,0.8,1002,VI 45,329,0.8,1455,-0.27168323,0,-0.161995272,837,,,,
0,17,8,0.15,VI 95,188,0.8,1009,VI 45,340,0.8,1478,-0.257321068,0,-0.165783268,881,,,,
0,17,9,0.15,VI 95,180,0.8,1029,VI 45,309,0.8,1408,-0.234685974,0,-0.13618728,880,,,,
0,18,0,0.15,VI 95,182,1.052631579,1174,VI 45,313,0.64516129,1261,-0.23547295,0.212608093,-0.03104699,853,,,,
0,18,1,0.15,VI 95,180,1.052631579,1146,VI 45,326,0.64516129,1273,-0.257945095,0.212608093,-0.045643786,870,,,,
0,18,2,0.15,VI 95,167,1.052631579,1130,VI 45,308,0.64516129,1208,-0.265834245,0.212608093,-0.028988491,825,,,,
0,18,4,0.15,VI 95,165,1.052631579,1117,VI 45,320,0.64516129,1266,-0.287666034,0.212608093,-0.054380533,882,,,,
0,18,3,0.15,VI 95,164,1.052631579,1160,VI 45,289,0.64516129,1235,-0.246053995,0.212608093,-0.027208968,850,,,,
0,18,5,0.15,VI 95,169,1.052631579,1084,VI 45,302,0.64516129,1281,-0.252120238,0.212608093,-0.072519848,853,,,,
0,18,6,0.15,VI 95,159,1.052631579,1123,VI 45,297,0.64516129,1236,-0.271359325,0.212608093,-0.041638714,822,,,,
0,18,7,0.15,VI 95,161,1.052631579,1107,VI 45,320,0.64516129,1359,-0.298324102,0.212608093,-0.089071836,899,,,,
0,18,8,0.15,VI 95,196,1.052631579,1270,VI 45,273,0.64516129,1167,-0.143906576,0.212608093,0.036732865,902,,,,
0,18,9,0.15,VI 95,177,1.052631579,1121,VI 45,317,0.64516129,1257,-0.253085996,0.212608093,-0.049729665,881,,,,
0,19,0,0.15,VI 95,178,1.6,1406,VI 45,268,0.533333333,1068,-0.177714792,0.477121255,0.119414068,881,,,,
0,19,1,0.15,VI 95,191,1.6,1482,VI 45,284,0.533333333,1038,-0.172284973,0.477121255,0.15465085,800,,,,
0,19,2,0.15,VI 95,185,1.6,1476,VI 45,272,0.533333333,1037,-0.167397176,0.477121255,0.153307601,888,,,,
0,19,3,0.15,VI 95,161,1.6,1305,VI 45,288,0.533333333,1169,-0.252566612,0.477121255,0.047796001,820,,,,
0,19,4,0.15,VI 95,183,1.6,1468,VI 45,279,0.533333333,1124,-0.183153114,0.477121255,0.115959744,944,,,,
0,19,6,0.15,VI 95,154,1.6,1245,VI 45,285,0.533333333,1109,-0.267324139,0.477121255,0.050237805,852,,,,
0,19,5,0.15,VI 95,190,1.6,1403,VI 45,315,0.533333333,1107,-0.219556953,0.477121255,0.10291005,849,,,,
0,19,7,0.15,VI 95,162,1.6,1363,VI 45,281,0.533333333,1103,-0.239191305,0.477121255,0.091920343,785,,,,
0,19,8,0.15,VI 95,170,1.6,1417,VI 45,311,0.533333333,1172,-0.262311468,0.477121255,0.082442239,883,,,,
0,19,9,0.15,VI 95,183,1.6,1440,VI 45,265,0.533333333,1062,-0.160794784,0.477121255,0.132237975,859,,,,
0,20,0,0.15,VI 120,120,0.533333333,563,VI 20,754,1.6,3541,-0.7981901,-0.477121255,-0.798617532,788,,,,
0,20,1,0.15,VI 120,106,0.533333333,567,VI 20,782,1.6,3812,-0.867900888,-0.477121255,-0.827569833,714,,,,
0,20,2,0.15,VI 120,121,0.533333333,598,VI 20,755,1.6,3580,-0.795161581,-0.477121255,-0.777181843,773,,,,
0,20,3,0.15,VI 120,134,0.533333333,657,VI 20,692,1.6,3305,-0.713001296,-0.477121255,-0.701606094,798,,,,
0,20,4,0.15,VI 120,114,0.533333333,577,VI 20,753,1.6,3643,-0.819890125,-0.477121255,-0.800283358,766,,,,
0,20,6,0.15,VI 120,133,0.533333333,607,VI 20,810,1.6,3816,-0.784633378,-0.477121255,-0.798419675,793,,,,
0,20,5,0.15,VI 120,137,0.533333333,573,VI 20,758,1.6,3662,-0.742948638,-0.477121255,-0.805563718,747,,,,
0,20,7,0.15,VI 120,125,0.533333333,602,VI 20,724,1.6,3504,-0.762828553,-0.477121255,-0.764967606,735,,,,
0,20,9,0.15,VI 120,115,0.533333333,555,VI 20,779,1.6,3694,-0.830839617,-0.477121255,-0.823203908,772,,,,
0,21,0,0.15,VI 120,124,0.64516129,694,VI 20,682,1.052631579,2573,-0.740362689,-0.212608093,-0.569080316,802,,,,
0,20,8,0.15,VI 120,122,0.533333333,571,VI 20,744,1.6,3541,-0.785213105,-0.477121255,-0.792489819,736,,,,
