net_type,run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
1,15,9,VI 95,126,456,0.533333333,VI 45,320,1672,1.6,-0.404779433,-0.477121255,-0.56427143,492,,,,
1,16,0,VI 95,135,593,0.64516129,VI 45,301,1320,1.052631579,-0.348232727,-0.212608093,-0.347519238,540,,,,
1,16,2,VI 95,156,590,0.64516129,VI 45,328,1344,1.052631579,-0.322749245,-0.212608093,-0.357547257,556,,,,
1,16,3,VI 95,140,583,0.64516129,VI 45,325,1319,1.052631579,-0.365755325,-0.212608093,-0.354576241,543,,,,
1,16,1,VI 95,146,658,0.64516129,VI 45,307,1239,1.052631579,-0.32278552,-0.212608093,-0.274845413,616,,,,
1,16,4,VI 95,132,614,0.64516129,VI 45,311,1379,1.052631579,-0.372186458,-0.212608093,-0.351395895,564,,,,
1,16,5,VI 95,141,635,0.64516129,VI 45,296,1247,1.052631579,-0.322072598,-0.212608093,-0.293092728,549,,,,
1,16,6,VI 95,157,619,0.64516129,VI 45,296,1239,1.052631579,-0.275392059,-0.212608093,-0.301380657,553,,,,
1,16,7,VI 95,135,570,0.64516129,VI 45,319,1400,1.052631579,-0.373456915,-0.212608093,-0.39025318,583,,,,
1,16,9,VI 95,139,586,0.64516129,VI 45,298,1259,1.052631579,-0.331201464,-0.212608093,-0.332128114,564,,,,
1,17,0,VI 95,143,722,0.8,VI 45,307,1093,0.8,-0.331802338,0,-0.180082964,614,,,,
1,16,8,VI 95,141,615,0.64516129,VI 45,309,1275,1.052631579,-0.340739367,-0.212608093,-0.316635069,596,,,,
1,17,1,VI 95,153,649,0.8,VI 45,282,1057,0.8,-0.265557678,0,-0.211830291,542,,,,
1,17,3,VI 95,147,657,0.8,VI 45,342,1177,0.8,-0.366708771,0,-0.253211093,555,,,,
1,17,2,VI 95,166,729,0.8,VI 45,300,1059,0.8,-0.257013167,0,-0.162168432,604,,,,
1,17,4,VI 95,144,657,0.8,VI 45,294,1095,0.8,-0.309984838,0,-0.22184875,540,,,,
1,17,5,VI 95,145,741,0.8,VI 45,294,1071,0.8,-0.306979328,0,-0.159971263,605,,,,
1,17,6,VI 95,148,721,0.8,VI 45,291,1080,0.8,-0.293631274,0,-0.175488491,584,,,,
1,17,7,VI 95,169,778,0.8,VI 45,288,1079,0.8,-0.231505783,0,-0.142041848,631,,,,
1,17,8,VI 95,133,673,0.8,VI 45,330,1192,0.8,-0.394662299,0,-0.248261191,557,,,,
1,17,9,VI 95,149,718,0.8,VI 45,291,1058,0.8,-0.290706721,0,-0.168361223,601,,,,
1,18,0,VI 95,152,869,1.052631579,VI 45,290,920,0.64516129,-0.28055441,0.212608093,-0.024768051,593,,,,
1,18,1,VI 95,160,878,1.052631579,VI 45,280,931,0.64516129,-0.243038049,0.212608093,-0.025455165,567,,,,
1,18,2,VI 95,157,804,1.052631579,VI 45,286,942,0.64516129,-0.260466381,0.212608093,-0.068794854,594,,,,
1,18,3,VI 95,156,834,1.052631579,VI 45,284,938,0.64516129,-0.260193742,0.212608093,-0.051036788,553,,,,
1,18,4,VI 95,167,836,1.052631579,VI 45,303,981,0.64516129,-0.258726157,0.212608093,-0.06946273,602,,,,
1,18,5,VI 95,150,866,1.052631579,VI 45,288,915,0.64516129,-0.283301229,0.212608093,-0.023903202,602,,,,
1,18,6,VI 95,157,860,1.052631579,VI 45,268,904,0.64516129,-0.232235142,0.212608093,-0.021669979,583,,,,
1,18,7,VI 95,150,835,1.052631579,VI 45,289,926,0.64516129,-0.284806584,0.212608093,-0.044924511,653,,,,
1,18,8,VI 95,157,845,1.052631579,VI 45,276,931,0.64516129,-0.24500943,0.212608093,-0.042092972,613,,,,
1,18,9,VI 95,156,843,1.052631579,VI 45,281,912,0.64516129,-0.255581722,0.212608093,-0.034167264,581,,,,
