net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,9,8,0.1,VI 45,319,1.6,1581,VI 95,143,0.533333333,524,0.348454646,0.477121255,0.479600583,587,0.12142064,0.227644692,0.166255118,,,,
2,9,9,0.1,VI 45,333,1.6,1606,VI 95,139,0.533333333,477,0.379429433,0.477121255,0.527227162,570,0.143966695,0.227644692,0.181033847,,,,
2,10,0,0.1,VI 70,187,0.533333333,639,VI 70,214,1.6,1223,-0.058572167,-0.477121255,-0.281925599,638,0.003430699,0.227644692,0.027946026,,,,
2,10,1,0.1,VI 70,190,0.533333333,593,VI 70,235,1.6,1327,-0.092314261,-0.477121255,-0.34981623,625,0.008521923,0.227644692,0.044045096,,,,
2,10,2,0.1,VI 70,178,0.533333333,658,VI 70,213,1.6,1238,-0.077959601,-0.477121255,-0.274494751,676,0.006077699,0.227644692,0.037196183,,,,
2,10,3,0.1,VI 70,198,0.533333333,634,VI 70,219,1.6,1246,-0.043778925,-0.477121255,-0.293428784,636,0.001916594,0.227644692,0.020887855,,,,
2,10,4,0.1,VI 70,192,0.533333333,584,VI 70,244,1.6,1320,-0.104088598,-0.477121255,-0.354161084,571,0.010834436,0.227644692,0.049662882,,,,
2,10,5,0.1,VI 70,190,0.533333333,666,VI 70,201,1.6,1137,-0.024442456,-0.477121255,-0.232286236,632,0.000597434,0.227644692,0.011662015,,,,
2,10,7,0.1,VI 70,173,0.533333333,610,VI 70,214,1.6,1216,-0.09236767,-0.477121255,-0.29960374,645,0.008531787,0.227644692,0.044070579,,,,
2,10,6,0.1,VI 70,177,0.533333333,582,VI 70,245,1.6,1390,-0.141192818,-0.477121255,-0.378091816,615,0.019935412,0.227644692,0.067366094,,,,
2,10,8,0.1,VI 70,192,0.533333333,619,VI 70,222,1.6,1217,-0.063051746,-0.477121255,-0.293599929,636,0.003975523,0.227644692,0.030083328,,,,
2,10,9,0.1,VI 70,165,0.533333333,568,VI 70,242,1.6,1378,-0.166331422,-0.477121255,-0.384900882,605,0.027666142,0.227644692,0.079360257,,,,
2,11,0,0.1,VI 70,190,0.64516129,737,VI 70,200,1.052631579,948,-0.022276395,-0.212608093,-0.109340849,617,0.000496238,0.045202201,0.004736142,,,,
2,11,1,0.1,VI 70,211,0.64516129,741,VI 70,216,1.052631579,955,-0.010171296,-0.212608093,-0.110185164,640,0.000103455,0.045202201,0.0021625,,,,
2,11,2,0.1,VI 70,209,0.64516129,762,VI 70,212,1.052631579,993,-0.006189575,-0.212608093,-0.114994277,676,3.83108E-05,0.045202201,0.001315954,,,,
2,11,3,0.1,VI 70,214,0.64516129,704,VI 70,220,1.052631579,1023,-0.012008907,-0.212608093,-0.162302975,616,0.000144214,0.045202201,0.002553191,,,,
2,11,4,0.1,VI 70,178,0.64516129,684,VI 70,233,1.052631579,1021,-0.116935919,-0.212608093,-0.17396964,651,0.013674009,0.045202201,0.024861523,,,,
2,11,5,0.1,VI 70,207,0.64516129,785,VI 70,195,1.052631579,905,0.025935734,-0.212608093,-0.061778922,650,0.000672662,0.045202201,-0.005514147,,,,
2,11,6,0.1,VI 70,182,0.64516129,764,VI 70,215,1.052631579,958,-0.072367072,-0.212608093,-0.098272151,729,0.005236993,0.045202201,0.015385825,,,,
2,11,8,0.1,VI 70,203,0.64516129,740,VI 70,215,1.052631579,973,-0.024942422,-0.212608093,-0.118881121,659,0.000622124,0.045202201,0.005302961,,,,
2,11,7,0.1,VI 70,173,0.64516129,675,VI 70,226,1.052631579,1034,-0.116062336,-0.212608093,-0.185216766,683,0.013470466,0.045202201,0.024675792,,,,
2,11,9,0.1,VI 70,179,0.64516129,765,VI 70,208,1.052631579,985,-0.065210304,-0.212608093,-0.109774795,699,0.004252384,0.045202201,0.013864238,,,,
2,12,0,0.1,VI 70,203,0.8,837,VI 70,205,0.8,838,-0.004257823,0,-0.000518561,686,1.81291E-05,0,0,,,,
2,12,1,0.1,VI 70,194,0.8,788,VI 70,221,0.8,860,-0.056590544,0,-0.037972234,621,0.00320249,0,0,,,,
2,12,2,0.1,VI 70,227,0.8,853,VI 70,205,0.8,829,0.044271996,0,0.012394501,689,0.00196001,0,0,,,,
2,12,3,0.1,VI 70,198,0.8,848,VI 70,202,0.8,846,-0.008686179,0,0.001025489,628,7.54497E-05,0,0,,,,
2,12,4,0.1,VI 70,200,0.8,856,VI 70,203,0.8,869,-0.006466042,0,-0.006546012,703,4.18097E-05,0,0,,,,
