net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference,,
1,7,19,0.1,VR 5,29,194,VR 5,57,306,1,0.388,0.612,,
1,7,17,0.1,VR 5,31,211,VR 5,54,278,1,0.431492843,0.568507157,,
1,8,16,0.1,VR 160,2,206,VR 160,0,209,1,0.496385542,0.503614458,,
1,8,18,0.1,VR 160,4,225,VR 160,1,167,1,0.573979592,0.573979592,,
1,8,17,0.1,VR 160,1,174,VR 160,4,212,1,0.450777202,0.549222798,,
1,8,19,0.1,VR 160,1,214,VR 160,2,223,1,0.489702517,0.510297483,,
1,9,16,0.1,VR 160,2,217,VR 160,0,201,1,0.519138756,0.519138756,,
1,9,18,0.1,VR 160,3,219,VR 160,0,189,1,0.536764706,0.536764706,,
1,9,19,0.1,VR 160,0,171,VR 160,3,203,1,0.457219251,0.542780749,,
1,9,17,0.1,VR 160,0,212,VR 160,2,205,1,0.508393285,0.508393285,,
1,10,16,0.1,VR 160,0,191,VR 160,2,210,1,0.476309227,0.523690773,,
1,10,18,0.1,VR 160,1,183,VR 160,2,192,1,0.488,0.512,,
1,10,19,0.1,VR 160,1,218,VR 160,2,168,1,0.564766839,0.564766839,,
1,10,17,0.1,VR 160,2,207,VR 160,1,190,1,0.521410579,0.521410579,,
1,11,16,0.1,VR 160,0,186,VR 160,2,199,1,0.483116883,0.516883117,,
1,11,18,0.1,VR 160,1,212,VR 160,1,193,1,0.52345679,0.52345679,,
1,11,19,0.1,VR 160,2,237,VR 160,0,182,1,0.565632458,0.565632458,,
1,11,17,0.1,VR 160,1,182,VR 160,2,171,1,0.515580737,0.515580737,,
